A;R;T;RT;TR
0;0.012680235;0.987319765;1;8.22E-15
1;0.012671467;0.987328533;1;-4.66E-15
2;0.012645178;0.987354822;1;-3.33E-15
3;0.012601413;0.987398587;1;5.33E-15
4;0.012540251;0.987459749;1;4.33E-15
5;0.012461797;0.987538203;1;2.66E-15
6;0.012366192;0.987633808;1;4.44E-16
7;0.012253603;0.987746397;1;-1.35E-14
8;0.012124233;0.987875767;1;9.44E-15
9;0.011978314;0.988021686;1;1.55E-15
10;0.011816108;0.988183892;1;0
11;0.011637912;0.988362088;1;0
12;0.011444053;0.988555947;1;-1.13E-14
13;0.011234891;0.988765109;1;-9.77E-15
14;0.011010818;0.988989182;1;-2.00E-15
15;0.010772258;0.989227742;1;-1.55E-15
16;0.010519669;0.989480331;1;3.22E-15
17;0.010253542;0.989746458;1;4.77E-15
18;0.0099744;0.9900256;1;1.18E-14
19;0.009682801;0.990317199;1;1.67E-15
20;0.009379338;0.990620662;1;-9.55E-15
21;0.00906464;0.99093536;1;6.77E-15
22;0.008739368;0.991260632;1;-1.67E-14
23;0.008404225;0.991595775;1;7.77E-16
24;0.008059951;0.991940049;1;-8.44E-15
25;0.007707327;0.992292673;1;4.11E-15
26;0.007347178;0.992652822;1;1.25E-14
27;0.006980375;0.993019625;1;-6.44E-15
28;0.006607839;0.993392161;1;-4.22E-15
29;0.006230548;0.993769452;1;-6.66E-15
30;0.005849539;0.994150461;1;-6.66E-16
31;0.005465918;0.994534082;1;-2.22E-16
32;0.005080863;0.994919137;1;-1.02E-14
33;0.004695638;0.995304362;1;-1.80E-14
34;0.004311599;0.995688401;1;1.53E-14
35;0.003930209;0.996069791;1;-5.11E-15
36;0.003553046;0.996446954;1;-6.22E-15
37;0.003181819;0.996818181;1;2.24E-14
38;0.002818385;0.997181615;1;-7.33E-15
39;0.002464762;0.997535238;1;-1.58E-14
40;0.002123148;0.997876852;1;5.00E-15
41;0.001795942;0.998204058;1;-2.22E-15
42;0.001485761;0.998514239;1;-1.11E-15
43;0.001195463;0.998804537;1;-5.33E-15
44;9.28E-04;0.999071829;1;-3.11E-14
45;6.87E-04;0.999312704;1;-1.40E-14
46;4.77E-04;0.999523433;1;8.22E-15
47;3.00E-04;0.999699941;1;2.21E-14
48;1.62E-04;0.999837773;1;-1.07E-14
49;6.79E-05;0.999932057;1;1.34E-14
50;2.25E-05;0.999977459;1;-4.44E-16
51;3.19E-05;0.99996813;1;-3.33E-14
52;1.02E-04;0.999897657;1;1.61E-14
53;2.41E-04;0.999758998;1;-2.89E-15
54;4.56E-04;0.99954449;1;9.66E-15
55;7.53E-04;0.999246594;1;-1.84E-14
56;0.001161814;0.998838186;1;-1.87E-14
57;0.001653649;0.998346351;1;7.77E-16
58;0.002270688;0.997729312;1;-4.00E-14
59;0.003020265;0.996979735;1;6.22E-15
60;0.0039181;0.9960819;1;1.78E-15
61;0.004982712;0.995017288;1;-1.93E-14
62;0.006235726;0.993764274;1;-4.44E-16
63;0.007702517;0.992297483;1;-1.11E-14
64;0.009413061;0.990586939;1;-8.22E-15
65;0.011403021;0.988596979;1;3.33E-15
66;0.013715128;0.986284872;1;1.89E-15
67;0.016400943;0.983599057;1;4.22E-15
68;0.01952313;0.98047687;1;4.37E-14
69;0.023158385;0.976841615;1;-1.89E-14
70;0.02740128;0.97259872;1;3.55E-15
71;0.032369319;0.967630681;1;-1.89E-14
72;0.038209676;0.961790324;1;-7.33E-15
73;0.045108252;0.954891748;1;8.55E-15
74;0.053301966;0.946698034;1;-4.06E-14
75;0.06309561;0.93690439;1;-1.36E-13
76;0.07488514;0.92511486;1;1.19E-14
77;0.089190089;0.910809911;1;-7.93E-14
78;0.10669885;0.89330115;1;-5.77E-15
79;0.128331784;0.871668216;1;-2.00E-15
80;0.155328089;0.844671911;1;-1.20E-13
81;0.189361328;0.810638672;1;-6.93E-14
82;0.23268091;0.76731909;1;-1.53E-13
83;0.288249498;0.711750502;1;-1.40E-14
84;0.35976755;0.64023245;1;9.90E-14
85;0.451277431;0.548722569;1;-9.15E-14
86;0.565623346;0.434376654;1;-1.71E-13
87;0.700495994;0.299504006;1;1.86E-13
88;0.841299043;0.158700957;1;-1.01E-13
